level,shot,target,pigsBefore,pigsAfter
2,0-1,ice12,1,1
2,0-1-3,stone14,1,1
2,0-1-3-8,stone14,1,1
2,0-1-3-8-0,ice15,1,1
2,0-1-3-8-0-3,stone9,1,2
2,0-6,ice7,1,1
2,0-6-3,ice10,1,1
2,0-6-3-8,wood14,1,1
2,0-6-3-8-4,stone14,1,1
2,0-6-3-8-4-0,ice10,1,0
2,0-10,stone9,1,1
2,0-10-7,stone14,1,1
2,0-10-7-17,ice16,1,1
2,0-10-7-17-12,ice11,1,0
2,0-7,stone10,1,1
2,0-7-4,ice11,1,1
2,0-7-4-7,ice12,1,0
2,0-8,stone15,1,1
2,0-8-4,ice11,1,0
2,0-5,ice12,1,0
2,0-10,stone9,1,1
2,0-10-4,ice11,1,1
2,0-10-4-17,stone9,1,1
2,0-10-4-17-0,ice12,1,0
2,0-4,ice12,1,1
2,0-4-5,ice7,1,1
2,0-4-5-3,ice11,1,0
2,0-6,ice7,1,1
2,0-6-6,stone13,1,1
2,0-6-6-3,ice13,1,1
2,0-6-6-3-2,stone2,1,1
2,0-6-6-3-2-4,stone4,1,2
2,0-4,ice12,1,1
2,0-4-8,stone15,1,1
2,0-4-8-6,ice11,1,0
2,0-10,stone9,1,1
2,0-10-2,ice11,1,1
2,0-10-2-8,wood15,1,1
2,0-10-2-8-8,ice15,1,0
2,0-5,ice12,1,1
2,0-5-1,ice7,1,1
2,0-5-1-3,stone12,1,1
2,0-5-1-3-4,stone3,1,1
2,0-5-1-3-4-2,stone15,1,2
2,0-6,ice7,1,1
2,0-6-10,stone5,1,1
2,0-6-10-12,stone5,1,1
2,0-6-10-12-10,stone4,1,1
2,0-6-10-12-10-6,stone13,1,2
2,0-2,ice12,1,1
2,0-2-9,ice12,1,0
2,0-7,stone10,1,1
2,0-7-3,ice11,1,1
2,0-7-3-6,stone7,1,1
2,0-7-3-6-0,stone7,1,1
2,0-7-3-6-0-5,stone13,1,2
2,0-5,ice12,1,0
2,0-10,stone9,1,1
2,0-10-2,ice11,1,1
2,0-10-2-2,ice14,1,0
2,0-6,ice7,1,1
2,0-6-10,stone5,1,1
2,0-6-10-2,ice10,1,1
2,0-6-10-2-3,stone2,1,1
2,0-6-10-2-3-5,stone4,1,1
2,0-6,ice7,1,1
2,0-6-0,ice10,1,0
2,0-4,ice12,1,1
2,0-4-7,stone12,1,1
2,0-4-7-5,ice12,1,0
2,0-5,ice12,1,0
2,0-7,stone10,1,1
2,0-7-8,stone14,1,1
2,0-7-8-5,ice11,1,1
2,0-7-8-5-1,stone12,1,0
2,0-7,stone10,1,1
2,0-7-2,ice11,1,1
2,0-7-2-5,ice6,1,1
2,0-7-2-5-0,ice13,1,0
2,0-10,stone9,1,1
2,0-10-9,stone9,1,1
2,0-10-9-7,stone15,1,1
2,0-10-9-7-30,stone18,1,1
2,0-10-9-7-30-1,ice12,1,2
2,0-5,ice12,1,0
2,0-10,stone9,1,1
2,0-10-7,stone14,1,1
2,0-10-7-12,ice11,1,0
2,0-2,ice12,1,1
2,0-2-14,ice14,1,0
2,0-5,ice12,1,1
2,0-5-7,stone9,1,1
2,0-5-7-3,wood13,1,1
2,0-5-7-3-0,ice6,1,1
2,0-5-7-3-0-0,stone0,1,1
2,0-5,ice12,1,0
2,0-10,stone9,1,1
2,0-10-6,ice6,1,1
2,0-10-6-8,stone13,1,1
2,0-10-6-8-8,wood13,1,1
2,0-10-6-8-8-3,ice12,1,2
2,0-6,ice7,1,1
2,0-6-1,ice10,1,1
2,0-6-1-9,wood14,1,1
2,0-6-1-9-0,wood14,1,1
2,0-6-1-9-0-0,wood14,1,1
2,0-4,ice12,1,1
2,0-4-0,ice13,1,0
2,0-9,stone15,1,1
2,0-9-14,ice11,1,1
2,0-9-14-4,stone13,1,0
2,0-4,ice12,1,1
2,0-4-6,stone10,1,1
